a	 a_0
pĩn	p i_3 n
pũn	p u_3 n
pơn	p 7_0 n
pưn	p M_0 n
pạn	p a_5 n
pản	p a_2 n
pấn	p 7_X_4 n
pần	p 7_X_1 n
pẩn	p 7_X_2 n
pẫn	p 7_X_3 n
pận	p 7_X_5 n
pắn	p a_X_4 n
pằn	p a_X_1 n
pẳn	p a_X_2 n
pẵn	p a_X_3 n
pặn	p a_X_5 n
pẹn	p E_5 n
pẻn	p E_2 n
pẽn	p E_3 n
pến	p e_4 n
pền	p e_1 n
pển	p e_2 n
pễn	p e_3 n
pện	p e_5 n
pỉn	p i_2 n
pịn	p i_5 n
pọn	p O_5 n
pỏn	p O_2 n
pốn	p o_4 n
pồn	p o_1 n
pổn	p o_2 n
pỗn	p o_3 n
pộn	p o_5 n
pớn	p 7_4 n
pờn	p 7_1 n
pởn	p 7_2 n
pỡn	p 7_3 n
pợn	p 7_5 n
pụn	p u_5 n
pủn	p u_2 n
pứn	p M_4 n
pừn	p M_1 n
pửn	p M_2 n
pữn	p M_3 n
pựn	p M_5 n
păng	p a_X_0 N
pũng	p u_3 Nm 
pưng	p M_0 N
pạng	p a_5 N
pảng	p a_2 N
pấng	p 7_X_4 N
pầng	p 7_X_1 N
pẩng	p 7_X_2 N
pẫng	p 7_X_3 N
pậng	p 7_X_5 N
pắng	p a_X_4 N
pằng	p a_X_1 N
pẳng	p a_X_2 N
pẵng	p a_X_3 N
pặng	p a_X_5 N
pẹng	p E_5 N
pẻng	p E_2 N
pẽng	p E_3 N
pọng	p O_5 Nm 
pỏng	p O_2 Nm 
pống	p o_4 Nm 
pồng	p o_1 Nm 
pổng	p o_2 Nm 
pỗng	p o_3 Nm 
pộng	p o_5 Nm 
pụng	p u_5 Nm 
pủng	p u_2 Nm 
pứng	p M_4 N
pừng	p M_1 N
pửng	p M_2 N
pững	p M_3 N
pựng	p M_5 N
pĩnh	p i_3 N_+ 
pạnh	p a_5 N_+ 
pảnh	p a_2 N_+ 
pếnh	p e_4 N_+ 
pềnh	p e_1 N_+ 
pểnh	p e_2 N_+ 
pễnh	p e_3 N_+ 
pệnh	p e_5 N_+ 
pỉnh	p i_2 N_+ 
pịnh	p i_5 N_+ 
pạo	p a_5 O
pảo	p a_2 O
pẹo	p E_5 O
pẻo	p E_2 O
pẽo	p E_3 O
pạp	p a_5 p
pấp	p 7_X_4 p
pập	p 7_X_5 p
pắp	p a_X_4 p
pặp	p a_X_5 p
pẹp	p E_5 p
pếp	p e_4 p
pệp	p e_5 p
pịp	p i_5 p
pọp	p O_5 p
pốp	p o_4 p
pộp	p o_5 p
pớp	p 7_4 p
pợp	p 7_5 p
pụp	p u_5 p
pạt	p a_5 t
pất	p 7_X_4 t
pật	p 7_X_5 t
pắt	p a_X_4 t
pặt	p a_X_5 t
pẹt	p E_5 t
pết	p e_4 t
pệt	p e_5 t
pịt	p i_5 t
pọt	p O_5 t
pốt	p o_4 t
pột	p o_5 t
pớt	p 7_4 t
pợt	p 7_5 t
pụt	p u_5 t
pứt	p M_4 t
pựt	p M_5 t
pĩu	p i_3 u
pưu	p M_0 u
pạu	p a_X_5 u 
pảu	p a_X_2 u 
pấu	p 7_X_4 u
pầu	p 7_X_1 u
pẩu	p 7_X_2 u
pẫu	p 7_X_3 u
pậu	p 7_X_5 u
pếu	p e_4 u
pều	p e_1 u
pểu	p e_2 u
pễu	p e_3 u
pệu	p e_5 u
pỉu	p i_2 u
pịu	p i_5 u
pứu	p M_4 u
pừu	p M_1 u
pửu	p M_2 u
pữu	p M_3 u
pựu	p M_5 u
pạy	p a_X_5 i 
pảy	p a_X_2 i 
pấy	p 7_X_4 i
pầy	p 7_X_1 i
pẩy	p 7_X_2 i
pẫy	p 7_X_3 i
pậy	p 7_X_5 i
pước	p M@_4 k
pược	p M@_5 k
pươi	p M@_0 i
pưới	p M@_4 i
pười	p M@_1 i
pưởi	p M@_2 i
pưỡi	p M@_3 i
pượi	p M@_5 i
pươm	p M@_0 m
pướm	p M@_4 m
pườm	p M@_1 m
pưởm	p M@_2 m
pưỡm	p M@_3 m
pượm	p M@_5 m
pươn	p M@_0 n
pướn	p M@_4 n
pườn	p M@_1 n
pưởn	p M@_2 n
pưỡn	p M@_3 n
pượn	p M@_5 n
pương	p M@_0 N
pướng	p M@_4 N
pường	p M@_1 N
pưởng	p M@_2 N
pưỡng	p M@_3 N
pượng	p M@_5 N
pướp	p M@_4 p
pượp	p M@_5 p
pướt	p M@_4 t
pượt	p M@_5 t
pươu	p M@_0 u
pướu	p M@_4 u
pườu	p M@_1 u
pưởu	p M@_2 u
pưỡu	p M@_3 u
pượu	p M@_5 u
qu	k w 
qua	k w a_0
quai	k w a_0 i
quam	k w a_0 m
quan	k w a_0 n
quang	k w a_0 N
quanh	k w a_0 N_+ 
quao	k w a_0 O
quau	k w a_X_0 u 
quay	k w a_X_0 i 
que	k w E_0
quem	k w E_0 m
quen	k w E_0 n
queng	k w E_0 N
queo	k w E_0 O
qui	k w i_0
quia	k w i@_0
quim	k w i_0 m
quin	k w i_0 n
quinh	k w i_0 N_+ 
quiu	k w i_0 u
quiêm	k w i@_0 m
quiên	k w i@_0 n
quiêng	k w i@_0 N
quiêu	k w i@_0 u
quiếc	k w i@_4 k
quiệc	k w i@_5 k
quiếm	k w i@_4 m
quiềm	k w i@_1 m
quiểm	k w i@_2 m
quiễm	k w i@_3 m
quiệm	k w i@_5 m
quiến	k w i@_4 n
quiền	k w i@_1 n
quiển	k w i@_2 n
quiễn	k w i@_3 n
quiện	k w i@_5 n
quiếng	k w i@_4 N
quiềng	k w i@_1 N
quiểng	k w i@_2 N
quiễng	k w i@_3 N
quiệng	k w i@_5 N
quiếp	k w i@_4 p
quiệp	k w i@_5 p
quiết	k w i@_4 t
quiệt	k w i@_5 t
quiếu	k w i@_4 u
quiều	k w i@_1 u
quiểu	k w i@_2 u
quiễu	k w i@_3 u
quiệu	k w i@_5 u
qum	k w  m
qun	k w  n
qung	k w  N
quo	k w O_0
quoa	k w w a_0
quoai	k w w a_0 i
quoam	k w w a_0 m
quoan	k w w a_0 n
quoang	k w w a_0 N
quoanh	k w w a_0 N_+ 
quoao	k w w a_0 O
quoay	k w w a_X_0 i 
quoe	k w w E_0
quoem	k w w E_0 m
quoen	k w w E_0 n
quoeo	k w w E_0 O
quoi	k w O_0 i
quom	k w O_0 m
quon	k w O_0 n
quong	k w O_0 Nm 
quoong	k w O_0 N
quoà	k w w a_1
quoài	k w w a_1 i
quoàm	k w w a_1 m
quoàn	k w w a_1 n
quoàng	k w w a_1 N
quoành	k w w a_1 N_+ 
quoào	k w w a_1 O
quoày	k w w a_X_1 i 
quoá	k w w a_4
quoác	k w w a_4 k
quoách	k w w a_4 k_+ 
quoái	k w w a_4 i
quoám	k w w a_4 m
quoán	k w w a_4 n
quoáng	k w w a_4 N
quoánh	k w w a_4 N_+ 
quoáo	k w w a_4 O
quoáp	k w w a_4 p
quoát	k w w a_4 t
quoáy	k w w a_X_4 i 
quoã	k w w a_3
quoãi	k w w a_3 i
quoãm	k w w a_3 m
quoãn	k w w a_3 n
quoãng	k w w a_3 N
quoãnh	k w w a_3 N_+ 
quoão	k w w a_3 O
quoãy	k w w a_X_3 i 
quoè	k w w E_1
quoèm	k w w E_1 m
quoèn	k w w E_1 n
quoèo	k w w E_1 O
quoé	k w w E_4
quoém	k w w E_4 m
quoén	k w w E_4 n
quoéo	k w w E_4 O
quoét	k w w E_4 t
quoòng	k w O O_1 N
quoóc	k w O O_4 k
quoóng	k w O O_4 N
quoõng	k w O O_3 N
quoạ	k w w a_5
quoả	k w w a_2
quoẹ	k w w E_5
quoẻ	k w w E_2
quoẽ	k w w E_3
quoạc	k w w a_5 k
quoắc	k w w a_X_4 k
quoặc	k w w a_X_5 k
quoọc	k w O O_5 k
quoạch	k w w a_5 k_+ 
quoại	k w w a_5 i
quoải	k w w a_2 i
quoăm	k w w a_X_0 m
quoạm	k w w a_5 m
quoảm	k w w a_2 m
quoắm	k w w a_X_4 m
quoằm	k w w a_X_1 m
quoẳm	k w w a_X_2 m
quoẵm	k w w a_X_3 m
quoặm	k w w a_X_5 m
quoẹm	k w w E_5 m
quoẻm	k w w E_2 m
quoẽm	k w w E_3 m
quoăn	k w w a_X_0 n
quoạn	k w w a_5 n
quoản	k w w a_2 n
quoắn	k w w a_X_4 n
quoằn	k w w a_X_1 n
quoẳn	k w w a_X_2 n
quoẵn	k w w a_X_3 n
quoặn	k w w a_X_5 n
quoẹn	k w w E_5 n
quoẻn	k w w E_2 n
quoẽn	k w w E_3 n
quoăng	k w w a_X_0 N
quoạng	k w w a_5 N
quoảng	k w w a_2 N
quoắng	k w w a_X_4 N
quoằng	k w w a_X_1 N
quoẳng	k w w a_X_2 N
quoẵng	k w w a_X_3 N
quoặng	k w w a_X_5 N
quoọng	k w O O_5 N
quoỏng	k w O O_2 N
quoạnh	k w w a_5 N_+ 
quoảnh	k w w a_2 N_+ 
quoạo	k w w a_5 O
quoảo	k w w a_2 O
quoẹo	k w w E_5 O
quoẻo	k w w E_2 O
quoẽo	k w w E_3 O
quoạp	k w w a_5 p
quoạt	k w w a_5 t
quoắt	k w w a_X_4 t
quoặt	k w w a_X_5 t
quoẹt	k w w E_5 t
quoạy	k w w a_X_5 i 
quoảy	k w w a_X_2 i 
quy	k w i_0
quya	k w i@_0
quyn	k w i_0 n
quynh	k w i_0 J
quyu	k w i_0 u
quyên	k w i@_0 n
quyến	k w i@_4 n
quyền	k w i@_1 n
quyển	k w i@_2 n
quyễn	k w i@_3 n
quyện	k w i@_5 n
quyết	k w i@_4 t
quyệt	k w i@_5 t
quà	k w a_1
quài	k w a_1 i
quàm	k w a_1 m
quàn	k w a_1 n
quàng	k w a_1 N
quành	k w a_1 N_+ 
quào	k w a_1 O
quàu	k w a_X_1 u 
quày	k w a_X_1 i 
quá	k w a_4
quác	k w a_4 k
quách	k w a_4 k_+ 
quái	k w a_4 i
quám	k w a_4 m
quán	k w a_4 n
quáng	k w a_4 N
quánh	k w a_4 N_+ 
quáo	k w a_4 O
quáp	k w a_4 p
quát	k w a_4 t
quáu	k w a_X_4 u 
quáy	k w a_X_4 i 
quâm	k w 7_X_0 m
quân	k w 7_X_0 n
quâng	k w 7_X_0 N
quâu	k w 7_X_0 u
quây	k w 7_X_0 i
quã	k w a_3
quãi	k w a_3 i
quãm	k w a_3 m
quãn	k w a_3 n
quãng	k w a_3 N
quãnh	k w a_3 N_+ 
quão	k w a_3 O
quãu	k w a_X_3 u 
quãy	k w a_X_3 i 
què	k w E_1
quèm	k w E_1 m
quèn	k w E_1 n
quèng	k w E_1 N
quèo	k w E_1 O
qué	k w E_4
quéc	k w E_4 k
quém	k w E_4 m
quén	k w E_4 n
quéng	k w E_4 N
quéo	k w E_4 O
quép	k w E_4 p
quét	k w E_4 t
quê	k w e_0
quêm	k w e_0 m
quên	k w e_0 n
quênh	k w e_0 N_+ 
quêu	k w e_0 u
quì	k w i_1
quìa	k w i@_1
quìm	k w i_1 m
quìn	k w i_1 n
quình	k w i_1 N_+ 
quìu	k w i_1 u
quí	k w i_4
quía	k w i@_4
quích	k w i_4 k_+ 
quím	k w i_4 m
quín	k w i_4 n
quính	k w i_4 N_+ 
quíp	k w i_4 p
quít	k w i_4 t
quíu	k w i_4 u
quò	k w O_1
quòi	k w O_1 i
quòm	k w O_1 m
quòn	k w O_1 n
quòng	k w O_1 Nm 
quó	k w O_4
quóc	k w kp_4 kp 
quói	k w O_4 i
quóm	k w O_4 m
quón	k w O_4 n
quóng	k w O_X_4 Nm 
quóp	k w O_4 p
quót	k w O_4 t
quô	k w o_0
quôi	k w o_0 i
quôm	k w o_0 m
quôn	k w o_0 n
quông	k w o_0 Nm 
quõ	k w O_3
quõi	k w O_3 i
quõm	k w O_3 m
quõn	k w O_3 n
quõng	k w O_3 Nm 
quý	k w i_4
quýa	k w i@_4
quých	k w i_4 k
quýn	k w i_4 n
quýnh	k w i_4 J
quýp	k w i_4 p
quýt	k w i_4 t
quýu	k w i_4 u
quĩ	k w i_3
quơ	k w 7_0
quư	k w M_0
quạ	k w a_5
quả	k w a_2
quẹ	k w E_5
quẻ	k w E_2
quẽ	k w E_3
quế	k w e_4
quề	k w e_1
quể	k w e_2
quễ	k w e_3
quệ	k w e_5
quỉ	k w i_2
quị	k w i_5
quọ	k w O_5
quỏ	k w O_2
quố	k w o_4
quồ	k w o_1
quổ	k w o_2
quỗ	k w o_3
quộ	k w o_5
quớ	k w 7_4
quờ	k w 7_1
quở	k w 7_2
quỡ	k w 7_3
quợ	k w 7_5
quứ	k w M_4
quừ	k w M_1
quử	k w M_2
quữ	k w M_3
quự	k w M_5
quỳ	k w i_1
quỵ	k w i_5
quỷ	k w i_2
quỹ	k w i_3
quĩa	k w i@_3
quưa	k w M@_0
quỉa	k w i@_2
quịa	k w i@_5
quứa	k w M@_4
quừa	k w M@_1
quửa	k w M@_2
quữa	k w M@_3
quựa	k w M@_5
quỳa	k w i@_1
quỵa	k w i@_5
quỷa	k w i@_2
quỹa	k w i@_3
quạc	k w a_5 k
quấc	k w 7_X_4 k
quậc	k w 7_X_5 k
quắc	k w a_X_4 k
quặc	k w a_X_5 k
quẹc	k w E_5 k
quọc	k w kp_5 kp 
quốc	k w o_4 kp 
quộc	k w o_5 kp 
quức	k w M_4 k
quực	k w M_5 k
quạch	k w a_5 k_+ 
quếch	k w e_4 k_+ 
quệch	k w e_5 k_+ 
quịch	k w i_5 k_+ 
quỵch	k w i_5 k
quơi	k w 7_0 i
quưi	k w M_0 i
quại	k w a_5 i
quải	k w a_2 i
quọi	k w O_5 i
quỏi	k w O_2 i
quối	k w o_4 i
quồi	k w o_1 i
quổi	k w o_2 i
quỗi	k w o_3 i
quội	k w o_5 i
quới	k w 7_4 i
quời	k w 7_1 i
quởi	k w 7_2 i
quỡi	k w 7_3 i
quợi	k w 7_5 i
quứi	k w M_4 i
quừi	k w M_1 i
quửi	k w M_2 i
quữi	k w M_3 i
quựi	k w M_5 i
quăm	k w a_X_0 m
quĩm	k w i_3 m
quơm	k w 7_0 m
quưm	k w M_0 m
quạm	k w a_5 m
quảm	k w a_2 m
quấm	k w 7_X_4 m
quầm	k w 7_X_1 m
quẩm	k w 7_X_2 m
quẫm	k w 7_X_3 m
quậm	k w 7_X_5 m
quắm	k w a_X_4 m
quằm	k w a_X_1 m
quẳm	k w a_X_2 m
quẵm	k w a_X_3 m
quặm	k w a_X_5 m
quẹm	k w E_5 m
quẻm	k w E_2 m
quẽm	k w E_3 m
quếm	k w e_4 m
quềm	k w e_1 m
quểm	k w e_2 m
quễm	k w e_3 m
quệm	k w e_5 m
quỉm	k w i_2 m
quịm	k w i_5 m
quọm	k w O_5 m
quỏm	k w O_2 m
quốm	k w o_4 m
quồm	k w o_1 m
quổm	k w o_2 m
quỗm	k w o_3 m
quộm	k w o_5 m
quớm	k w 7_4 m
quờm	k w 7_1 m
quởm	k w 7_2 m
quỡm	k w 7_3 m
quợm	k w 7_5 m
quứm	k w M_4 m
quừm	k w M_1 m
quửm	k w M_2 m
quữm	k w M_3 m
quựm	k w M_5 m
quăn	k w a_X_0 n
quĩn	k w i_3 n
quơn	k w 7_0 n
quưn	k w M_0 n
quạn	k w a_5 n
quản	k w a_2 n
quấn	k w 7_X_4 n
quần	k w 7_X_1 n
quẩn	k w 7_X_2 n
quẫn	k w 7_X_3 n
quận	k w 7_X_5 n
quắn	k w a_X_4 n
quằn	k w a_X_1 n
quẳn	k w a_X_2 n
quẵn	k w a_X_3 n
quặn	k w a_X_5 n
quẹn	k w E_5 n
quẻn	k w E_2 n
quẽn	k w E_3 n
quến	k w e_4 n
quền	k w e_1 n
quển	k w e_2 n
quễn	k w e_3 n
quện	k w e_5 n
quỉn	k w i_2 n
quịn	k w i_5 n
quọn	k w O_5 n
quỏn	k w O_2 n
quốn	k w o_4 n
quồn	k w o_1 n
quổn	k w o_2 n
quỗn	k w o_3 n
quộn	k w o_5 n
quớn	k w 7_4 n
quờn	k w 7_1 n
quởn	k w 7_2 n
quỡn	k w 7_3 n
quợn	k w 7_5 n
quứn	k w M_4 n
quừn	k w M_1 n
quửn	k w M_2 n
quữn	k w M_3 n
quựn	k w M_5 n
quỳn	k w i_1 n
quỵn	k w i_5 n
quỷn	k w i_2 n
quỹn	k w i_3 n
quăng	k w a_X_0 N
quưng	k w M_0 N
quạng	k w a_5 N
quảng	k w a_2 N
quấng	k w 7_X_4 N
quầng	k w 7_X_1 N
quẩng	k w 7_X_2 N
quẫng	k w 7_X_3 N
quậng	k w 7_X_5 N
quắng	k w a_X_4 N
quằng	k w a_X_1 N
quẳng	k w a_X_2 N
quẵng	k w a_X_3 N
quặng	k w a_X_5 N
quẹng	k w E_5 N
quẻng	k w E_2 N
quẽng	k w E_3 N
quọng	k w O_5 Nm 
quỏng	k w O_2 Nm 
quống	k w o_4 Nm 
quồng	k w o_1 Nm 
quổng	k w o_2 Nm 
quỗng	k w o_3 Nm 
quộng	k w o_5 Nm 
quứng	k w M_4 N
quừng	k w M_1 N
quửng	k w M_2 N
quững	k w M_3 N
quựng	k w M_5 N
quĩnh	k w i_3 N_+ 
quạnh	k w a_5 N_+ 
quảnh	k w a_2 N_+ 
quếnh	k w e_4 N_+ 
quềnh	k w e_1 N_+ 
quểnh	k w e_2 N_+ 
quễnh	k w e_3 N_+ 
quệnh	k w e_5 N_+ 
quỉnh	k w i_2 N_+ 
quịnh	k w i_5 N_+ 
quỳnh	k w i_1 J
quỵnh	k w i_5 J
quỷnh	k w i_2 J
quỹnh	k w i_3 J
quạo	k w a_5 O
quảo	k w a_2 O
quẹo	k w E_5 O
quẻo	k w E_2 O
quẽo	k w E_3 O
quạp	k w a_5 p
quấp	k w 7_X_4 p
quập	k w 7_X_5 p
quắp	k w a_X_4 p
quặp	k w a_X_5 p
quẹp	k w E_5 p
quếp	k w e_4 p
quệp	k w e_5 p
quịp	k w i_5 p
quọp	k w O_5 p
quốp	k w o_4 p
quộp	k w o_5 p
quớp	k w 7_4 p
quợp	k w 7_5 p
quỵp	k w i_5 p
quạt	k w a_5 t
quất	k w 7_X_4 t
quật	k w 7_X_5 t
quắt	k w a_X_4 t
quặt	k w a_X_5 t
quẹt	k w E_5 t
quết	k w e_4 t
quệt	k w e_5 t
quịt	k w i_5 t
quọt	k w O_5 t
quốt	k w o_4 t
quột	k w o_5 t
quớt	k w 7_4 t
quợt	k w 7_5 t
quứt	k w M_4 t
quựt	k w M_5 t
quỵt	k w i_5 t
quĩu	k w i_3 u
quưu	k w M_0 u
quạu	k w a_X_5 u 
quảu	k w a_X_2 u 
quấu	k w 7_X_4 u
quầu	k w 7_X_1 u
quẩu	k w 7_X_2 u
quẫu	k w 7_X_3 u
quậu	k w 7_X_5 u
quếu	k w e_4 u
quều	k w e_1 u
quểu	k w e_2 u
quễu	k w e_3 u
quệu	k w e_5 u
quỉu	k w i_2 u
quịu	k w i_5 u
quứu	k w M_4 u
quừu	k w M_1 u
quửu	k w M_2 u
quữu	k w M_3 u
quựu	k w M_5 u
quỳu	k w i_1 u
quỵu	k w i_5 u
quỷu	k w i_2 u
quỹu	k w i_3 u
quạy	k w a_X_5 i 
quảy	k w a_X_2 i 
quấy	k w 7_X_4 i
quầy	k w 7_X_1 i
quẩy	k w 7_X_2 i
quẫy	k w 7_X_3 i
quậy	k w 7_X_5 i
quước	k w M@_4 k
quược	k w M@_5 k
quươi	k w M@_0 i
quưới	k w M@_4 i
quười	k w M@_1 i
quưởi	k w M@_2 i
quưỡi	k w M@_3 i
quượi	k w M@_5 i
quươm	k w M@_0 m
quướm	k w M@_4 m
quườm	k w M@_1 m
quưởm	k w M@_2 m
quưỡm	k w M@_3 m
quượm	k w M@_5 m
quươn	k w M@_0 n
quướn	k w M@_4 n
quườn	k w M@_1 n
quưởn	k w M@_2 n
quưỡn	k w M@_3 n
quượn	k w M@_5 n
quương	k w M@_0 N
quướng	k w M@_4 N
quường	k w M@_1 N
quưởng	k w M@_2 N
quưỡng	k w M@_3 N
quượng	k w M@_5 N
quướp	k w M@_4 p
quượp	k w M@_5 p
quướt	k w M@_4 t
quượt	k w M@_5 t
quươu	k w M@_0 u
quướu	k w M@_4 u
quườu	k w M@_1 u
quưởu	k w M@_2 u
quưỡu	k w M@_3 u
quượu	k w M@_5 u
qù	k u_1
qùa	k u@_1
qùi	k u_1 i
qùm	k u_1 m
qùn	k u_1 n
qùng	k u_1 Nm 
qú	k u_4
qúa	k u@_4
qúc	k u_4 kp 
qúi	k u_4 i
qúm	k u_4 m
qún	k u_4 n
qúng	k u_4 Nm 
qúp	k u_4 p
qút	k u_4 t
qũ	k u_3
qụ	k u_5
qủ	k u_2
qũa	k u@_3
qụa	k u@_5
qủa	k u@_2
qục	k u_5 kp 
qũi	k u_3 i
qụi	k u_5 i
qủi	k u_2 i
qũm	k u_3 m
qụm	k u_5 m
qủm	k u_2 m
qũn	k u_3 n
qụn	k u_5 n
qủn	k u_2 n
qũng	k u_3 Nm 
qụng	k u_5 Nm 
qủng	k u_2 Nm 
qụp	k u_5 p
qụt	k u_5 t
ra	z a_0
rai	z a_0 i
ram	z a_0 m
ran	z a_0 n
rang	z a_0 N
ranh	z a_0 N_+ 
rao	z a_0 O
rau	z a_X_0 u 
ray	z a_X_0 i 
re	z E_0
rem	z E_0 m
ren	z E_0 n
reng	z E_0 N
reo	z E_0 O
ri	z i_0
ria	z i@_0
rim	z i_0 m
rin	z i_0 n
rinh	z i_0 N_+ 
riu	z i_0 u
riêm	z i@_0 m
riên	z i@_0 n
riêng	z i@_0 N
riêu	z i@_0 u
riếc	z i@_4 k
riệc	z i@_5 k
riếm	z i@_4 m
riềm	z i@_1 m
riểm	z i@_2 m
riễm	z i@_3 m
riệm	z i@_5 m
riến	z i@_4 n
riền	z i@_1 n
riển	z i@_2 n
riễn	z i@_3 n
riện	z i@_5 n
riếng	z i@_4 N
riềng	z i@_1 N
riểng	z i@_2 N
riễng	z i@_3 N
riệng	z i@_5 N
riếp	z i@_4 p
riệp	z i@_5 p
riết	z i@_4 t
riệt	z i@_5 t
riếu	z i@_4 u
riều	z i@_1 u
riểu	z i@_2 u
riễu	z i@_3 u
riệu	z i@_5 u
ro	z O_0
roa	z w a_0
roai	z w a_0 i
roam	z w a_0 m
roan	z w a_0 n
roang	z w a_0 N
roanh	z w a_0 N_+ 
roao	z w a_0 O
roay	z w a_X_0 i 
roe	z w E_0
roem	z w E_0 m
roen	z w E_0 n
roeo	z w E_0 O
roi	z O_0 i
rom	z O_0 m
ron	z O_0 n
rong	z O_0 Nm 
roong	z O_0 N
roà	z w a_1
roài	z w a_1 i
roàm	z w a_1 m
roàn	z w a_1 n
roàng	z w a_1 N
roành	z w a_1 N_+ 
roào	z w a_1 O
roày	z w a_X_1 i 
roá	z w a_4
roác	z w a_4 k
roách	z w a_4 k_+ 
roái	z w a_4 i
roám	z w a_4 m
roán	z w a_4 n
roáng	z w a_4 N
roánh	z w a_4 N_+ 
roáo	z w a_4 O
roáp	z w a_4 p
roát	z w a_4 t
roáy	z w a_X_4 i 
roã	z w a_3
roãi	z w a_3 i
roãm	z w a_3 m
roãn	z w a_3 n
roãng	z w a_3 N
roãnh	z w a_3 N_+ 
roão	z w a_3 O
roãy	z w a_X_3 i 
roè	z w E_1
roèm	z w E_1 m
roèn	z w E_1 n
roèo	z w E_1 O
roé	z w E_4
roém	z w E_4 m
roén	z w E_4 n
roéo	z w E_4 O
roét	z w E_4 t
roòng	z O O_1 N
roóc	z O O_4 k
roóng	z O O_4 N
roõng	z O O_3 N
roạ	z w a_5
roả	z w a_2
roẹ	z w E_5
roẻ	z w E_2
roẽ	z w E_3
roạc	z w a_5 k
roắc	z w a_X_4 k
roặc	z w a_X_5 k
roọc	z O O_5 k
roạch	z w a_5 k_+ 
roại	z w a_5 i
roải	z w a_2 i
roăm	z w a_X_0 m
roạm	z w a_5 m
roảm	z w a_2 m
roắm	z w a_X_4 m
roằm	z w a_X_1 m
roẳm	z w a_X_2 m
roẵm	z w a_X_3 m
roặm	z w a_X_5 m
roẹm	z w E_5 m
roẻm	z w E_2 m
roẽm	z w E_3 m
roăn	z w a_X_0 n
roạn	z w a_5 n
roản	z w a_2 n
roắn	z w a_X_4 n
roằn	z w a_X_1 n
roẳn	z w a_X_2 n
roẵn	z w a_X_3 n
roặn	z w a_X_5 n
roẹn	z w E_5 n
roẻn	z w E_2 n
roẽn	z w E_3 n
roăng	z w a_X_0 N
roạng	z w a_5 N
roảng	z w a_2 N
roắng	z w a_X_4 N
roằng	z w a_X_1 N
roẳng	z w a_X_2 N
roẵng	z w a_X_3 N
roặng	z w a_X_5 N
roọng	z O O_5 N
roỏng	z O O_2 N
roạnh	z w a_5 N_+ 
roảnh	z w a_2 N_+ 
roạo	z w a_5 O
roảo	z w a_2 O
roẹo	z w E_5 O
roẻo	z w E_2 O
roẽo	z w E_3 O
roạp	z w a_5 p
roạt	z w a_5 t
roắt	z w a_X_4 t
roặt	z w a_X_5 t
roẹt	z w E_5 t
roạy	z w a_X_5 i 
roảy	z w a_X_2 i 
ru	z u_0
rua	z u@_0
rui	z u_0 i
rum	z u_0 m
run	z u_0 n
rung	z u_0 Nm 
ruy	z w i_0
ruya	z w i@_0
ruyn	z w i_0 n
ruynh	z w i_0 J
ruyu	z w i_0 u
ruyên	z w i@_0 n
ruyến	z w i@_4 n
ruyền	z w i@_1 n
ruyển	z w i@_2 n
ruyễn	z w i@_3 n
ruyện	z w i@_5 n
ruyết	z w i@_4 t
ruyệt	z w i@_5 t
ruân	z u 7_X_0 n
ruâng	z u 7_X_0 N
ruây	z u 7_X_0 i_0
ruê	z w e_0
ruênh	z w e_0 N_+ 
ruôi	z u@_0 i
ruôm	z u@_0 m
ruôn	z u@_0 n
ruông	z u@_0 N
ruý	z w i_4
ruýa	z w i@_4
ruých	z w i_4 k
ruýn	z w i_4 n
ruýnh	z w i_4 J
ruýp	z w i_4 p
ruýt	z w i_4 t
ruýu	z w i_4 u
ruơ	z u_0 7
ruế	z w e_4
ruề	z w e_1
ruể	z w e_2
ruễ	z w e_3
ruệ	z w e_5
ruớ	z u 7_4
ruờ	z u 7_1
ruở	z u 7_2
ruỡ	z u 7_3
ruợ	z u 7_5
ruỳ	z w i_1
ruỵ	z w i_5
ruỷ	z w i_2
ruỹ	z w i_3
ruỳa	z w i@_1
ruỵa	z w i@_5
ruỷa	z w i@_2
ruỹa	z w i@_3
ruốc	z u@_4 k
ruộc	z u@_5 k
ruếch	z w e_4 k_+ 
ruệch	z w e_5 k_+ 
ruỵch	z w i_5 k
ruối	z u@_4 i
ruồi	z u@_1 i
ruổi	z u@_2 i
ruỗi	z u@_3 i
ruội	z u@_5 i
ruốm	z u@_4 m
ruồm	z u@_1 m
ruổm	z u@_2 m
ruỗm	z u@_3 m
ruộm	z u@_5 m
ruấn	z u 7_X_4 n
ruần	z u 7_X_1 n
ruẩn	z u 7_X_2 n
ruẫn	z u 7_X_3 n
ruận	z u 7_X_5 n
ruốn	z u@_4 n
ruồn	z u@_1 n
ruổn	z u@_2 n
ruỗn	z u@_3 n
ruộn	z u@_5 n
ruỳn	z w i_1 n
ruỵn	z w i_5 n
ruỷn	z w i_2 n
ruỹn	z w i_3 n
ruấng	z u 7_X_4 N
ruầng	z u 7_X_1 N
ruẩng	z u 7_X_2 N
ruẫng	z u 7_X_3 N
ruậng	z u 7_X_5 N
ruống	z u@_4 N
ruồng	z u@_1 N
ruổng	z u@_2 N
ruỗng	z u@_3 N
ruộng	z u@_5 N
ruếnh	z w e_4 N_+ 
ruềnh	z w e_1 N_+ 
ruểnh	z w e_2 N_+ 
ruễnh	z w e_3 N_+ 
ruệnh	z w e_5 N_+ 
ruỳnh	z w i_1 J
